# Fallback to disassembly for 42 functions
# Format: address | function_name | reason | output_file
#================================================================================

0x10a46 | PROGRAM | function too large (21925 bytes, limit 16384 bytes) | disassembly/10A46.asm
0x15ff8 | sub_15FF8 | decompile returned None | disassembly/15FF8.asm
0x1633a | sub_1633A | decompile returned None | disassembly/1633A.asm
0x17f3c | sub_17F3C | decompile returned None | disassembly/17F3C.asm
0x17ffe | sub_17FFE | decompile returned None | disassembly/17FFE.asm
0x1874b | sub_1874B | decompile returned None | disassembly/1874B.asm
0x18760 | sub_18760 | decompile returned None | disassembly/18760.asm
0x1956d | sub_1956D | decompile returned None | disassembly/1956D.asm
0x195d3 | sub_195D3 | decompile returned None | disassembly/195D3.asm
0x1adce | sub_1ADCE | decompile returned None | disassembly/1ADCE.asm
0x1ae29 | sub_1AE29 | decompile returned None | disassembly/1AE29.asm
0x1b357 | sub_1B357 | decompile returned None | disassembly/1B357.asm
0x1b689 | sub_1B689 | decompile returned None | disassembly/1B689.asm
0x1c556 | sub_1C556 | decompile returned None | disassembly/1C556.asm
0x1c620 | sub_1C620 | decompile returned None | disassembly/1C620.asm
0x1cbb2 | sub_1CBB2 | decompile returned None | disassembly/1CBB2.asm
0x1d989 | sub_1D989 | too many instructions (>3000, limit 3000) | disassembly/1D989.asm
0x21061 | sub_21061 | decompile returned None | disassembly/21061.asm
0x21576 | sub_21576 | decompile returned None | disassembly/21576.asm
0x21ecb | sub_21ECB | decompile returned None | disassembly/21ECB.asm
0x21ee1 | sub_21EE1 | decompile returned None | disassembly/21EE1.asm
0x220b3 | sub_220B3 | decompile returned None | disassembly/220B3.asm
0x23a58 | sub_23A58 | decompile returned None | disassembly/23A58.asm
0x2564e | sub_2564E | decompile returned None | disassembly/2564E.asm
0x257e7 | sub_257E7 | decompile returned None | disassembly/257E7.asm
0x25909 | sub_25909 | decompile returned None | disassembly/25909.asm
0x25e13 | sub_25E13 | decompile returned None | disassembly/25E13.asm
0x25eb0 | sub_25EB0 | decompile returned None | disassembly/25EB0.asm
0x25f30 | sub_25F30 | decompile returned None | disassembly/25F30.asm
0x25f7d | sub_25F7D | decompile returned None | disassembly/25F7D.asm
0x25fc7 | sub_25FC7 | decompile returned None | disassembly/25FC7.asm
0x26011 | sub_26011 | decompile returned None | disassembly/26011.asm
0x260ed | sub_260ED | decompile returned None | disassembly/260ED.asm
0x261ce | sub_261CE | decompile returned None | disassembly/261CE.asm
0x26374 | sub_26374 | decompile returned None | disassembly/26374.asm
0x26382 | sub_26382 | decompile returned None | disassembly/26382.asm
0x2638e | sub_2638E | decompile returned None | disassembly/2638E.asm
0x2639c | sub_2639C | decompile returned None | disassembly/2639C.asm
0x263a3 | sub_263A3 | decompile returned None | disassembly/263A3.asm
0x263ae | sub_263AE | decompile returned None | disassembly/263AE.asm
0x263b6 | sub_263B6 | decompile returned None | disassembly/263B6.asm
0x274ad | sub_274AD | decompile returned None | disassembly/274AD.asm
