# Total Pointers Found: 6648
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 4
# Data xref hits: 6648
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
10ACD | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10AD2 | seg000 | 10000 | aYourStars | string_pointer | "YOUR STARS"
10AE4 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10AE9 | seg000 | 10021 | asc_10021 | string_pointer | string_literal
10AFB | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10B55 | seg000 | 10042 | aOfDiskBIsFull | string_pointer | "% Of Disk B: Is Full"
10B67 | seg000 | 2792E | word_2792E | data_pointer | data_item_size=2
10B6C | seg000 | 27930 | word_27930 | data_pointer | data_item_size=2
10B71 | seg000 | 27932 | word_27932 | data_pointer | data_item_size=2
10B76 | seg000 | 27934 | unk_27934 | unknown_pointer | 
10B80 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10B85 | seg000 | 1001E | unknown | unknown_pointer | 
10B97 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10B9C | seg000 | 1005F | aTodayIs | string_pointer | "Today is:"
10BA9 | seg000 | 2792E | word_2792E | data_pointer | data_item_size=2
10BC4 | seg000 | 27930 | word_27930 | data_pointer | data_item_size=2
10BDF | seg000 | 27932 | word_27932 | data_pointer | data_item_size=2
10C30 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10C35 | seg000 | 10076 | aThathkalaKendr | string_pointer | ""Thathkala Kendra"   ?  (Y/N)"
10C52 | seg000 | 27936 | byte_27936 | data_pointer | data_item_size=1
10C57 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10C5C | seg000 | 27936 | byte_27936 | data_pointer | data_item_size=1
10C83 | seg000 | 27DEA | byte_27DEA | data_pointer | data_item_size=1
10C86 | seg000 | 27DEA | byte_27DEA | data_pointer | data_item_size=1
10C8D | seg000 | 27DEA | byte_27DEA | data_pointer | data_item_size=1
10C94 | seg000 | 27DEA | byte_27DEA | data_pointer | data_item_size=1
10C9B | seg000 | 27DEA | byte_27DEA | data_pointer | data_item_size=1
10CA2 | seg000 | 27DEA | byte_27DEA | data_pointer | data_item_size=1
10CA5 | seg000 | 27936 | byte_27936 | data_pointer | data_item_size=1
10CB3 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
10CB8 | seg000 | 27DEA | byte_27DEA | data_pointer | data_item_size=1
10CC9 | seg000 | 27936 | byte_27936 | data_pointer | data_item_size=1
10CD3 | seg000 | 2791E | word_2791E | data_pointer | data_item_size=2
10CD8 | seg000 | 27920 | word_27920 | data_pointer | data_item_size=2
10CDD | seg000 | 27922 | word_27922 | data_pointer | data_item_size=2
10CE2 | seg000 | 27928 | unk_27928 | unknown_pointer | 
10CEC | seg000 | 27924 | word_27924 | data_pointer | data_item_size=2
10CF1 | seg000 | 27926 | word_27926 | data_pointer | data_item_size=2
10CF6 | seg000 | 2792A | unk_2792A | unknown_pointer | 
10CFB | seg000 | 2792C | unk_2792C | unknown_pointer | 
10D05 | seg000 | 10094 | aThatkalaKendra | string_pointer | ""Thatkala Kendra""
10D0A | seg000 | 2B418 | unk_2B418 | unknown_pointer | 
10D18 | seg000 | 2791E | word_2791E | data_pointer | data_item_size=2
10D1B | seg000 | 27DEE | word_27DEE | data_pointer | data_item_size=2
10D1E | seg000 | 27920 | word_27920 | data_pointer | data_item_size=2
10D21 | seg000 | 27DF0 | word_27DF0 | data_pointer | data_item_size=2
10D24 | seg000 | 27922 | word_27922 | data_pointer | data_item_size=2
10D27 | seg000 | 27DF2 | word_27DF2 | data_pointer | data_item_size=2
10D2A | seg000 | 27926 | word_27926 | data_pointer | data_item_size=2
10D44 | seg000 | 27924 | word_27924 | data_pointer | data_item_size=2
10D56 | seg000 | 27BFE | word_27BFE | data_pointer | data_item_size=2
10D59 | seg000 | 27C00 | word_27C00 | data_pointer | data_item_size=2
10D5D | seg000 | 27C02 | word_27C02 | data_pointer | data_item_size=2
